RMSE_relative_collect1,RMSE_relative_gaussian,RMSE_relative_collect2,RMSE_relative_poisson,RMSE_relative_collect3,RMSE_relative_bernoulli
0.786560204100989,0.926327698952806,0.778876119281289,0.88699294356344,0.781506204832597,0.844709062995058
0.78931023717633,0.925041710565545,0.776137011449564,0.885855158055422,0.780259754172179,0.844293704181694
0.788310475663153,0.925483699582382,0.776214490698152,0.886027705445178,0.780492952762619,0.845199863446299
0.787246052933254,0.925761685158914,0.774981300269019,0.886415764455732,0.778402523760265,0.844693588384725
0.787826335404541,0.926073815744513,0.775404418210197,0.885538544144066,0.778595329751465,0.844218269659652
0.787429105577702,0.926078161812845,0.77648971897961,0.885414082465336,0.779765385836067,0.845470871244421
0.787503935428554,0.92637007202576,0.775679040854738,0.886916727024983,0.777998581256314,0.845369968147442
0.785728005918115,0.927544700690115,0.775461705703986,0.885477917185524,0.776614989878919,0.843926295189838
0.787203076086068,0.927670127398756,0.773048858122638,0.884462533842502,0.777643386410632,0.844382320762029
0.788107450009648,0.924973781519231,0.774982169436423,0.886501027809323,0.780675981122725,0.844319528418119
